>> note = "20MHZ, 200mVpp, 100mVdc, time_const 100ms, sen 300uV rms, VDD 2.5, 2/13/2026"

note =

    "20MHZ, 200mVpp, 100mVdc, time_const 100ms, sen 300uV rms, VDD 2.5, 2/13/2026"

[LOG] goTo_fit (scan version): wait_time=5.0000 s
[LOG] SCAN_PART Channel               : R
[LOG] SCAN_PART_1 (Forward 11 points) : k1 = 8.239e-06, b1 = 1.673e-04
[LOG] SCAN_PART_2 (Backward 11 points): k2 = 8.214e-06, b2 = 1.674e-04
[LOG] SCAN_TOTAL  (Symmetric)         : k_total = 8.226e-06, b_total = 1.673e-04
[LOG] HYSTERESIS_AVG: Mean Delta_Cap  (dy) = 9.409e-08
[LOG] HYSTERESIS_AVG: Mean Delta_Step (dx) = 0.0114 steps
(0.000000, 1.673470e-04)
(0.500000, 1.719590e-04)
(1.000000, 1.756960e-04)
(1.500000, 1.793820e-04)
(2.000000, 1.837520e-04)
(2.500000, 1.871360e-04)
(3.000000, 1.918900e-04)
(3.500000, 1.960590e-04)
(4.000000, 2.003590e-04)
(4.500000, 2.045690e-04)
(5.000000, 2.087880e-04)
(5.000000, 2.087380e-04)
(4.500000, 2.043070e-04)
(4.000000, 2.003090e-04)
(3.500000, 1.961400e-04)
(3.000000, 1.919600e-04)
(2.500000, 1.871060e-04)
(2.000000, 1.836420e-04)
(1.500000, 1.796440e-04)
(1.000000, 1.757360e-04)
(0.500000, 1.719390e-04)
(0.000000, 1.672870e-04)
[LOG] goTo_fit (scan version): wait_time=2.5000 s
[LOG] SCAN_PART Channel               : R
[LOG] SCAN_PART_1 (Forward 13 points) : k1 = 8.396e-06, b1 = 1.666e-04
[LOG] SCAN_PART_2 (Backward 13 points): k2 = 8.350e-06, b2 = 1.669e-04
[LOG] SCAN_TOTAL  (Symmetric)         : k_total = 8.373e-06, b_total = 1.667e-04
[LOG] HYSTERESIS_AVG: Mean Delta_Cap  (dy) = 1.842e-07
[LOG] HYSTERESIS_AVG: Mean Delta_Step (dx) = 0.0220 steps
(2.000000, 1.839640e-04)
(2.500000, 1.871660e-04)
(3.000000, 1.916980e-04)
(3.500000, 1.958880e-04)
(4.000000, 2.003290e-04)
(4.500000, 2.044480e-04)
(5.000000, 2.089600e-04)
(5.500000, 2.119910e-04)
(6.000000, 2.171670e-04)
(6.500000, 2.206620e-04)
(7.000000, 2.258690e-04)
(7.500000, 2.292930e-04)
(8.000000, 2.341670e-04)
(8.000000, 2.339350e-04)
(7.500000, 2.293730e-04)
(7.000000, 2.255160e-04)
(6.500000, 2.208840e-04)
(6.000000, 2.171770e-04)
(5.500000, 2.118100e-04)
(5.000000, 2.090300e-04)
(4.500000, 2.043880e-04)
(4.000000, 2.005200e-04)
(3.500000, 1.963810e-04)
(3.000000, 1.920410e-04)
(2.500000, 1.870560e-04)
(2.000000, 1.839140e-04)
