>> note = "20MHZ, 200mVpp, 100mVdc, time_const 30ms, sen 300uV rms, VDD 2.5, 2/12/2026; test scan 32 microsteps"

note =

    "20MHZ, 200mVpp, 100mVdc, time_const 30ms, sen 300uV rms, VDD 2.5, 2/12/2026; test scan 32 microsteps"

[LOG] goTo_fit (scan version): wait_time=10.0000 s
[LOG] SCAN_PART Channel               : R
[LOG] SCAN_PART_1 (Forward 193 points) : k1 = 8.242e-06, b1 = 1.648e-04
[LOG] SCAN_PART_2 (Backward 193 points): k2 = 8.164e-06, b2 = 1.655e-04
[LOG] SCAN_TOTAL  (Symmetric)         : k_total = 8.203e-06, b_total = 1.652e-04
[LOG] HYSTERESIS_AVG: Mean Delta_Cap  (dy) = 3.410e-07
[LOG] HYSTERESIS_AVG: Mean Delta_Step (dx) = 0.0416 steps
(2.000000, 1.818090e-04)
(2.031250, 1.815270e-04)
(2.062500, 1.815870e-04)
(2.093750, 1.821610e-04)
(2.125000, 1.821110e-04)
(2.156250, 1.823320e-04)
(2.187500, 1.826040e-04)
(2.218750, 1.828560e-04)
(2.250000, 1.830980e-04)
(2.281250, 1.836820e-04)
(2.312500, 1.840850e-04)
(2.343750, 1.841250e-04)
(2.375000, 1.843370e-04)
(2.406250, 1.845280e-04)
(2.437500, 1.846990e-04)
(2.468750, 1.850720e-04)
(2.500000, 1.846190e-04)
(2.531250, 1.847590e-04)
(2.562500, 1.849310e-04)
(2.593750, 1.853840e-04)
(2.625000, 1.857460e-04)
(2.656250, 1.857570e-04)
(2.687500, 1.863910e-04)
(2.718750, 1.871160e-04)
(2.750000, 1.875290e-04)
(2.781250, 1.879520e-04)
(2.812500, 1.884150e-04)
(2.843750, 1.892510e-04)
(2.875000, 1.895530e-04)
(2.906250, 1.899260e-04)
(2.937500, 1.893920e-04)
(2.968750, 1.894120e-04)
(3.000000, 1.899060e-04)
(3.031250, 1.901780e-04)
(3.062500, 1.903290e-04)
(3.093750, 1.898250e-04)
(3.125000, 1.899660e-04)
(3.156250, 1.902080e-04)
