Group    |        Kp |        Ki |        Kd |       Mean |        Std |        P2P |        MAE |     P% |     I% |     D% | Dominant
--------------------------------------------------------------------------------------------------------------------------------------
G1       |  5.00e-03 |  2.00e-03 |  5.00e-03 |   1.28e+00 |   4.87e+00 |   1.73e+01 |   4.34e+00 |    9.5 |   90.0 |    0.6 |        I
G2       |  5.00e-03 |  5.00e-03 |  5.00e-03 |   2.93e-01 |   5.43e+00 |   2.06e+01 |   4.79e+00 |    5.9 |   93.3 |    0.8 |        I
G3       |  5.00e-03 |  1.00e-02 |  5.00e-03 |   8.81e-02 |   1.94e+00 |   6.90e+00 |   1.72e+00 |    4.5 |   94.9 |    0.5 |        I
G4       |  1.10e-01 |  2.00e-03 |  5.00e-03 |   1.39e-01 |   4.51e-01 |   2.53e+00 |   2.09e-01 |   65.8 |   33.3 |    0.9 |        P
G5       |  1.10e-01 |  5.00e-03 |  5.00e-03 |   2.89e-01 |   1.22e+00 |   5.71e+00 |   4.67e-01 |   55.2 |   44.1 |    0.7 |        P
G6       |  1.10e-01 |  1.00e-02 |  5.00e-03 |   2.08e-01 |   1.26e+00 |   6.12e+00 |   5.31e-01 |   51.6 |   47.8 |    0.6 |        P
G7       |  2.00e-01 |  2.00e-03 |  5.00e-03 |   1.14e-01 |   4.54e-01 |   3.02e+00 |   1.51e-01 |   75.9 |   23.2 |    0.9 |        P
G8       |  2.00e-01 |  5.00e-03 |  5.00e-03 |   9.09e-02 |   4.24e-01 |   1.97e+00 |   1.54e-01 |   66.6 |   32.6 |    0.8 |        P
G9       |  2.00e-01 |  1.00e-02 |  5.00e-03 |   2.27e-01 |   1.16e+00 |   5.50e+00 |   4.07e-01 |   61.0 |   38.4 |    0.5 |        P
G10      |  3.00e-01 |  2.00e-03 |  5.00e-03 |   3.42e+00 |   3.76e+00 |   9.53e+00 |   3.42e+00 |   75.6 |   24.4 |    0.0 |        P
G11      |  3.00e-01 |  5.00e-03 |  5.00e-03 |   1.12e-01 |   7.89e-01 |   6.12e+00 |   3.47e-01 |   65.7 |   33.9 |    0.4 |        P
G12      |  3.00e-01 |  1.00e-02 |  5.00e-03 |   7.99e-02 |   4.13e-01 |   1.95e+00 |   1.39e-01 |   63.4 |   36.0 |    0.6 |        P
G13      |  5.00e-03 |  2.00e-03 |  1.40e-02 |  -3.63e-02 |   8.68e-01 |   3.17e+00 |   6.10e-01 |    9.2 |   88.9 |    1.9 |        I
G14      |  5.00e-03 |  5.00e-03 |  1.40e-02 |   5.38e-02 |   9.64e-01 |   3.27e+00 |   8.25e-01 |    6.4 |   92.0 |    1.6 |        I
G15      |  5.00e-03 |  1.00e-02 |  1.40e-02 |  -1.01e-01 |   8.30e-01 |   2.65e+00 |   7.47e-01 |    4.7 |   93.7 |    1.7 |        I
G16      |  1.10e-01 |  2.00e-03 |  1.40e-02 |   8.46e-02 |   4.56e-01 |   1.97e+00 |   2.04e-01 |   61.3 |   36.7 |    2.0 |        P
G17      |  1.10e-01 |  5.00e-03 |  1.40e-02 |   2.32e-01 |   1.25e+00 |   5.70e+00 |   5.27e-01 |   56.6 |   41.8 |    1.6 |        P
G18      |  1.10e-01 |  1.00e-02 |  1.40e-02 |   8.89e-02 |   4.57e-01 |   2.23e+00 |   1.97e-01 |   51.1 |   47.0 |    1.9 |        P
G19      |  2.00e-01 |  2.00e-03 |  1.40e-02 |   8.44e-02 |   4.19e-01 |   1.86e+00 |   1.55e-01 |   63.6 |   34.5 |    1.9 |        P
G20      |  2.00e-01 |  5.00e-03 |  1.40e-02 |   2.20e-01 |   1.15e+00 |   5.18e+00 |   4.20e-01 |   61.5 |   37.1 |    1.4 |        P
