[LOG] SCAN_PART Channel               : R
[LOG] SCAN_PART_1 (Forward 15 points) : k1 = 8.159e-06,	b1 = 1.678e-04
[LOG] SCAN_PART_2 (Backward 15 points): k2 = 8.184e-06,	b2 = 1.675e-04
[LOG] SCAN_TOTAL  (Symmetric)         : k_total = 8.171e-06,	b_total = 1.676e-04
[LOG] HYSTERESIS_AVG: Mean Delta_Cap  (dy) = 2.725e-07
[LOG] HYSTERESIS_AVG: Mean Delta_Step (dx) = 0.0334 steps
Cap(theor-act): [  1.983e-04 -   1.346e-04 =   6.362e-05] | Step Loss (=Cap/k_fit): [  7.785] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 01:08:45 [FORCE STEP     ] @ Step [5.0000e+00]
Cap(theor-act): [  1.983e-04 -   1.341e-04 =   6.411e-05] | Step Loss (=Cap/k_fit): [  7.846] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 01:08:46 [PID PAUSED     ] @ Step [5.0000e+00]
Cap(theor-act): [  1.983e-04 -   1.342e-04 =   6.405e-05] | Step Loss (=Cap/k_fit): [  7.838] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 01:08:48 [PID PAUSED     ] @ Step [5.0000e+00]
Cap(theor-act): [  1.983e-04 -   1.344e-04 =   6.385e-05] | Step Loss (=Cap/k_fit): [  7.814] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 01:08:49 [PID PAUSED     ] @ Step [5.0000e+00]
Cap(theor-act): [  1.983e-04 -   1.342e-04 =   6.401e-05] | Step Loss (=Cap/k_fit): [  7.833] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 01:08:50 [PID PAUSED     ] @ Step [5.0000e+00]
Cap(theor-act): [  1.983e-04 -   1.340e-04 =   6.423e-05] | Step Loss (=Cap/k_fit): [  7.860] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 01:08:51 [PID PAUSED     ] @ Step [5.0000e+00]
Cap(theor-act): [  1.983e-04 -   1.341e-04 =   6.417e-05] | Step Loss (=Cap/k_fit): [  7.853] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 01:08:52 [PID PAUSED     ] @ Step [5.0000e+00]
Cap(theor-act): [  1.983e-04 -   1.341e-04 =   6.416e-05] | Step Loss (=Cap/k_fit): [  7.852] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 01:08:53 [PID PAUSED     ] @ Step [5.0000e+00]
Cap(theor-act): [  1.983e-04 -   1.341e-04 =   6.411e-05] | Step Loss (=Cap/k_fit): [  7.846] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 01:08:54 [PID PAUSED     ] @ Step [5.0000e+00]
Cap(theor-act): [  1.983e-04 -   1.343e-04 =   6.398e-05] | Step Loss (=Cap/k_fit): [  7.830] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 01:08:56 [PID PAUSED     ] @ Step [5.0000e+00]
Cap(theor-act): [  1.983e-04 -   1.347e-04 =   6.358e-05] | Step Loss (=Cap/k_fit): [  7.780] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 01:08:57 [PID PAUSED     ] @ Step [5.0000e+00]
Cap(theor-act): [  1.983e-04 -   1.347e-04 =   6.353e-05] | Step Loss (=Cap/k_fit): [  7.775] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0389 +  0.0156 +  0.0389 =    +0.0933] @ 01:08:58 [PID ADJ        ] @ Step [5.0933e+00]
Cap(theor-act): [  1.983e-04 -   1.350e-04 =   6.329e-05] | Step Loss (=Cap/k_fit): [  7.746] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0387 +  0.0310 + -0.0001 =    +0.0696] @ 01:08:59 [PID ADJ        ] @ Step [5.1629e+00]
Cap(theor-act): [  1.983e-04 -   1.353e-04 =   6.296e-05] | Step Loss (=Cap/k_fit): [  7.705] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0385 +  0.0465 + -0.0002 =    +0.0848] @ 01:09:00 [PID ADJ        ] @ Step [5.2477e+00]
Cap(theor-act): [  1.983e-04 -   1.362e-04 =   6.207e-05] | Step Loss (=Cap/k_fit): [  7.597] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0380 +  0.0616 + -0.0005 =    +0.0991] @ 01:09:01 [PID ADJ        ] @ Step [5.3468e+00]
Cap(theor-act): [  1.983e-04 -   1.375e-04 =   6.074e-05] | Step Loss (=Cap/k_fit): [  7.433] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0372 +  0.0765 + -0.0008 =    +0.1129] @ 01:09:02 [PID ADJ        ] @ Step [5.4596e+00]
Cap(theor-act): [  1.983e-04 -   1.385e-04 =   5.974e-05] | Step Loss (=Cap/k_fit): [  7.311] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0366 +  0.0911 + -0.0006 =    +0.1271] @ 01:09:04 [PID ADJ        ] @ Step [5.5867e+00]
Cap(theor-act): [  1.983e-04 -   1.382e-04 =   6.005e-05] | Step Loss (=Cap/k_fit): [  7.349] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0367 +  0.1058 +  0.0002 =    +0.1428] @ 01:09:05 [PID ADJ        ] @ Step [5.7295e+00]
Cap(theor-act): [  1.983e-04 -   1.404e-04 =   5.783e-05] | Step Loss (=Cap/k_fit): [  7.078] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0354 +  0.1200 + -0.0014 =    +0.1540] @ 01:09:06 [PID ADJ        ] @ Step [5.8835e+00]
Cap(theor-act): [  1.983e-04 -   1.421e-04 =   5.617e-05] | Step Loss (=Cap/k_fit): [  6.874] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0344 +  0.1337 + -0.0010 =    +0.1671] @ 01:09:07 [PID ADJ        ] @ Step [6.0506e+00]
Cap(theor-act): [  1.983e-04 -   1.425e-04 =   5.575e-05] | Step Loss (=Cap/k_fit): [  6.823] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0341 +  0.1474 + -0.0003 =    +0.1812] @ 01:09:08 [PID ADJ        ] @ Step [6.2318e+00]
Cap(theor-act): [  1.983e-04 -   1.441e-04 =   5.413e-05] | Step Loss (=Cap/k_fit): [  6.624] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0331 +  0.1606 + -0.0010 =    +0.1928] @ 01:09:09 [PID ADJ        ] @ Step [6.4246e+00]
Cap(theor-act): [  1.983e-04 -   1.468e-04 =   5.142e-05] | Step Loss (=Cap/k_fit): [  6.293] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0315 +  0.1732 + -0.0017 =    +0.2030] @ 01:09:10 [PID ADJ        ] @ Step [6.6276e+00]
Cap(theor-act): [  1.983e-04 -   1.478e-04 =   5.045e-05] | Step Loss (=Cap/k_fit): [  6.174] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0309 +  0.1856 + -0.0006 =    +0.2158] @ 01:09:12 [PID ADJ        ] @ Step [6.8435e+00]
Cap(theor-act): [  1.983e-04 -   1.501e-04 =   4.818e-05] | Step Loss (=Cap/k_fit): [  5.896] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0295 +  0.1974 + -0.0014 =    +0.2254] @ 01:09:13 [PID ADJ        ] @ Step [7.0689e+00]
Cap(theor-act): [  1.983e-04 -   1.509e-04 =   4.738e-05] | Step Loss (=Cap/k_fit): [  5.799] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0290 +  0.2090 + -0.0005 =    +0.2375] @ 01:09:14 [PID ADJ        ] @ Step [7.3064e+00]
Cap(theor-act): [  1.983e-04 -   1.535e-04 =   4.474e-05] | Step Loss (=Cap/k_fit): [  5.476] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0274 +  0.2199 + -0.0016 =    +0.2457] @ 01:09:15 [PID ADJ        ] @ Step [7.5520e+00]
Cap(theor-act): [  1.983e-04 -   1.553e-04 =   4.294e-05] | Step Loss (=Cap/k_fit): [  5.255] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0263 +  0.2304 + -0.0011 =    +0.2556] @ 01:09:16 [PID ADJ        ] @ Step [7.8076e+00]
Cap(theor-act): [  1.983e-04 -   1.580e-04 =   4.023e-05] | Step Loss (=Cap/k_fit): [  4.923] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0246 +  0.2403 + -0.0017 =    +0.2632] @ 01:09:17 [PID ADJ        ] @ Step [8.0708e+00]
Cap(theor-act): [  1.983e-04 -   1.590e-04 =   3.921e-05] | Step Loss (=Cap/k_fit): [  4.799] | Gains(P,I,D): [5.00e-03, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0240 +  0.2499 + -0.0006 =    +0.2732] @ 01:09:18 [PID ADJ        ] @ Step [8.3441e+00]
