Group    |        Kp |        Ki |        Kd |       Mean |        Std |        MAE |   MAE_l100 |   MSE_l100 |     P% |     I% |     D% |  Dom
-----------------------------------------------------------------------------------------------------------------------------------------------
G1       |  2.00e-01 |  2.00e-03 |  5.00e-03 |   5.48e-02 |   2.61e-01 |   1.03e-01 |   2.49e-02 |   8.89e-04 |   61.0 |   38.2 |    0.8 |    P
G2       |  2.00e-01 |  2.00e-03 |  1.40e-02 |   4.78e-02 |   2.60e-01 |   1.02e-01 |   3.19e-02 |   1.31e-03 |   60.1 |   37.7 |    2.2 |    P
G3       |  3.00e-01 |  2.00e-03 |  2.00e-02 |   5.05e-02 |   2.46e-01 |   8.50e-02 |   2.19e-02 |   6.79e-04 |   63.2 |   34.0 |    2.8 |    P
G4       |  5.00e-03 |  1.00e-02 |  5.00e-03 |   7.44e-02 |   6.50e-01 |   5.76e-01 |   5.11e-01 |   3.30e-01 |    4.9 |   94.5 |    0.6 |    I
G5       |  3.00e-01 |  5.00e-03 |  1.40e-02 |   4.40e-02 |   2.67e-01 |   1.04e-01 |   2.83e-02 |   1.04e-03 |   58.3 |   40.1 |    1.5 |    P
G6       |  2.00e-01 |  2.00e-03 |  5.00e-02 |   5.01e-02 |   2.70e-01 |   1.08e-01 |   3.11e-02 |   1.24e-03 |   57.5 |   35.8 |    6.7 |    P
G7       |  5.00e-03 |  2.00e-03 |  5.00e-02 |   1.06e-01 |   6.33e-01 |   5.51e-01 |   3.87e-01 |   2.12e-01 |    9.0 |   84.9 |    6.1 |    I
G8       |  1.00e-01 |  2.00e-03 |  1.40e-02 |   4.40e-02 |   2.91e-01 |   1.43e-01 |   3.48e-02 |   1.49e-03 |   56.9 |   41.0 |    2.1 |    P
G9       |  2.50e-01 |  2.00e-03 |  1.50e-02 |   4.94e-02 |   2.54e-01 |   9.54e-02 |   2.51e-02 |   8.50e-04 |   62.3 |   35.5 |    2.1 |    P
G10      |  0.00e+00 |  0.00e+00 |  0.00e+00 |   6.24e-03 |   2.40e-02 |   1.84e-02 |   1.53e-02 |   3.72e-04 |    0.0 |    0.0 |    0.0 |    P
