Group    |        Kp |        Ki |        Kd |       Mean |        Std |        MAE |   MAE_l100 |   MSE_l100 |     P% |     I% |     D% |  Dom
-----------------------------------------------------------------------------------------------------------------------------------------------
G1       |  5.00e-03 |  1.00e-03 |  1.00e-02 |   2.55e-01 |   2.52e+00 |   2.20e+00 |   1.68e+00 |   3.52e+00 |   13.1 |   85.8 |    1.1 |    I
G2       |  5.00e-03 |  2.00e-03 |  1.00e-02 |  -6.76e-02 |   6.88e-01 |   6.04e-01 |   4.96e-01 |   2.86e-01 |   10.3 |   88.5 |    1.2 |    I
G3       |  5.00e-03 |  1.00e-02 |  1.00e-02 |  -2.85e-02 |   6.79e-01 |   5.96e-01 |   4.46e-01 |   2.42e-01 |    4.8 |   94.1 |    1.1 |    I
G4       |  3.00e-01 |  1.00e-03 |  1.00e-02 |   6.66e-02 |   3.46e-01 |   9.26e-02 |   1.47e-02 |   3.21e-04 |   72.5 |   25.6 |    1.9 |    P
G5       |  3.00e-01 |  2.00e-03 |  1.00e-02 |   4.45e+00 |   2.35e+00 |   4.45e+00 |   2.08e+00 |   4.48e+00 |   44.4 |   55.6 |    0.0 |    I
G6       |  3.00e-01 |  1.00e-02 |  1.00e-02 |   6.27e-02 |   3.53e-01 |   1.03e-01 |   1.24e-02 |   2.55e-04 |   66.8 |   31.7 |    1.5 |    P
G7       |  4.50e-01 |  1.00e-03 |  1.00e-02 |   4.90e+00 |   9.26e-01 |   4.90e+00 |   3.94e+00 |   1.56e+01 |   73.8 |   26.2 |    0.0 |    P
G8       |  4.50e-01 |  2.00e-03 |  1.00e-02 |   3.80e+00 |   1.36e+00 |   3.80e+00 |   2.33e+00 |   5.52e+00 |   56.3 |   43.7 |    0.0 |    P
G9       |  4.50e-01 |  1.00e-02 |  1.00e-02 |   6.49e-02 |   3.55e-01 |   9.53e-02 |   1.20e-02 |   2.38e-04 |   69.6 |   28.9 |    1.5 |    P
G10      |  5.00e-03 |  1.00e-03 |  2.00e-02 |   2.50e-01 |   2.50e+00 |   2.18e+00 |   1.66e+00 |   3.46e+00 |   12.9 |   85.0 |    2.1 |    I
G11      |  5.00e-03 |  2.00e-03 |  2.00e-02 |   1.82e-01 |   2.51e+00 |   2.22e+00 |   1.81e+00 |   3.85e+00 |    9.9 |   88.1 |    2.1 |    I
G12      |  5.00e-03 |  1.00e-02 |  2.00e-02 |   4.93e-02 |   9.28e-01 |   8.13e-01 |   5.77e-01 |   3.96e-01 |    4.8 |   93.2 |    2.0 |    I
G13      |  3.00e-01 |  1.00e-03 |  2.00e-02 |  -4.97e-02 |   2.52e-01 |   7.16e-02 |   1.38e-02 |   3.05e-04 |   72.3 |   23.5 |    4.2 |    P
G14      |  3.00e-01 |  2.00e-03 |  2.00e-02 |   1.67e-01 |   9.39e-01 |   2.52e-01 |   2.49e-02 |   8.01e-04 |   65.8 |   32.0 |    2.2 |    P
G15      |  3.00e-01 |  1.00e-02 |  2.00e-02 |   1.26e+00 |   2.39e+00 |   1.26e+00 |   1.43e-02 |   3.10e-04 |   10.3 |   89.6 |    0.0 |    I
G16      |  4.50e-01 |  1.00e-03 |  2.00e-02 |   5.02e+00 |   1.09e+00 |   5.02e+00 |   3.93e+00 |   1.55e+01 |   73.7 |   26.3 |    0.0 |    P
G17      |  4.50e-01 |  2.00e-03 |  2.00e-02 |   3.80e+00 |   1.36e+00 |   3.80e+00 |   2.33e+00 |   5.53e+00 |   56.3 |   43.7 |    0.0 |    P
G18      |  4.50e-01 |  1.00e-02 |  2.00e-02 |   6.70e-02 |   3.66e-01 |   9.93e-02 |   1.41e-02 |   2.96e-04 |   69.3 |   27.7 |    2.9 |    P
G19      |  5.00e-03 |  1.00e-03 |  1.00e-01 |   3.24e-01 |   2.38e+00 |   2.07e+00 |   1.63e+00 |   3.40e+00 |   11.3 |   79.2 |    9.5 |    I
G20      |  5.00e-03 |  2.00e-03 |  1.00e-01 |  -3.77e-02 |   6.03e-01 |   5.23e-01 |   4.10e-01 |   2.06e-01 |    8.6 |   80.9 |   10.5 |    I
G21      |  5.00e-03 |  1.00e-02 |  1.00e-01 |  -5.14e-02 |   5.30e-01 |   4.47e-01 |   2.82e-01 |   9.87e-02 |    4.1 |   86.4 |    9.5 |    I
G22      |  3.00e-01 |  1.00e-03 |  1.00e-01 |   7.06e-02 |   3.63e-01 |   9.75e-02 |   1.49e-02 |   3.18e-04 |   62.1 |   22.1 |   15.8 |    P
G23      |  3.00e-01 |  2.00e-03 |  1.00e-01 |   6.61e-02 |   3.72e-01 |   1.01e-01 |   1.45e-02 |   3.35e-04 |   58.5 |   27.1 |   14.4 |    P
G24      |  3.00e-01 |  1.00e-02 |  1.00e-01 |   1.16e+00 |   2.06e+00 |   1.17e+00 |   1.21e-02 |   2.48e-04 |   10.4 |   89.3 |    0.3 |    I
G25      |  4.50e-01 |  1.00e-03 |  1.00e-01 |   4.91e+00 |   9.23e-01 |   4.91e+00 |   3.94e+00 |   1.56e+01 |   73.7 |   26.2 |    0.1 |    P
G26      |  4.50e-01 |  2.00e-03 |  1.00e-01 |   7.98e-02 |   4.19e-01 |   1.03e-01 |   1.23e-02 |   2.44e-04 |   62.6 |   22.5 |   14.8 |    P
G27      |  4.50e-01 |  1.00e-02 |  1.00e-01 |   2.61e-01 |   1.50e+00 |   3.71e-01 |   1.30e-02 |   2.49e-04 |   59.9 |   31.6 |    8.5 |    P
G28      |  0.00e+00 |  0.00e+00 |  0.00e+00 |  -3.63e-02 |   2.75e-02 |   3.90e-02 |   4.57e-02 |   2.72e-03 |    0.0 |    0.0 |    0.0 |    P
