[LOG] SCAN_PART Channel               : R
[LOG] SCAN_PART_1 (Forward 15 points) : k1 = 2.956e-05,	b1 = 5.865e-04
[LOG] SCAN_PART_2 (Backward 15 points): k2 = 2.935e-05,	b2 = 5.872e-04
[LOG] SCAN_TOTAL  (Symmetric)         : k_total = 2.945e-05,	b_total = 5.868e-04
[LOG] HYSTERESIS_AVG: Mean Delta_Cap  (dy) = 5.907e-07
[LOG] HYSTERESIS_AVG: Mean Delta_Step (dx) = 0.0201 steps
Cap(theor-act): [  6.973e-04 -   5.580e-04 =   1.392e-04] | Step Loss (=Cap/k_fit): [  4.728] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 21:19:11 [FORCE STEP     ] @ Step [5.0000e+00]
Cap(theor-act): [  6.973e-04 -   5.567e-04 =   1.405e-04] | Step Loss (=Cap/k_fit): [  4.772] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 21:19:12 [PID PAUSED     ] @ Step [5.0000e+00]
Cap(theor-act): [  6.973e-04 -   5.575e-04 =   1.397e-04] | Step Loss (=Cap/k_fit): [  4.745] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 21:19:13 [PID PAUSED     ] @ Step [5.0000e+00]
Cap(theor-act): [  6.973e-04 -   5.575e-04 =   1.397e-04] | Step Loss (=Cap/k_fit): [  4.745] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 21:19:14 [PID PAUSED     ] @ Step [5.0000e+00]
Cap(theor-act): [  6.973e-04 -   5.580e-04 =   1.392e-04] | Step Loss (=Cap/k_fit): [  4.728] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 21:19:16 [PID PAUSED     ] @ Step [5.0000e+00]
Cap(theor-act): [  6.973e-04 -   5.583e-04 =   1.389e-04] | Step Loss (=Cap/k_fit): [  4.717] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 21:19:17 [PID PAUSED     ] @ Step [5.0000e+00]
Cap(theor-act): [  6.973e-04 -   5.586e-04 =   1.386e-04] | Step Loss (=Cap/k_fit): [  4.707] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 21:19:18 [PID PAUSED     ] @ Step [5.0000e+00]
Cap(theor-act): [  6.973e-04 -   5.586e-04 =   1.386e-04] | Step Loss (=Cap/k_fit): [  4.707] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 21:19:19 [PID PAUSED     ] @ Step [5.0000e+00]
Cap(theor-act): [  6.973e-04 -   5.575e-04 =   1.397e-04] | Step Loss (=Cap/k_fit): [  4.745] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 21:19:20 [PID PAUSED     ] @ Step [5.0000e+00]
Cap(theor-act): [  6.973e-04 -   5.583e-04 =   1.389e-04] | Step Loss (=Cap/k_fit): [  4.717] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 21:19:21 [PID PAUSED     ] @ Step [5.0000e+00]
Cap(theor-act): [  6.973e-04 -   5.583e-04 =   1.389e-04] | Step Loss (=Cap/k_fit): [  4.717] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 21:19:23 [PID PAUSED     ] @ Step [5.0000e+00]
Cap(theor-act): [  6.973e-04 -   5.588e-04 =   1.384e-04] | Step Loss (=Cap/k_fit): [  4.700] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0235 +  0.0047 +  0.0470 =    +0.0752] @ 21:19:24 [PID ADJ        ] @ Step [5.0752e+00]
Cap(theor-act): [  6.973e-04 -   5.587e-04 =   1.385e-04] | Step Loss (=Cap/k_fit): [  4.704] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0235 +  0.0094 +  0.0000 =    +0.0330] @ 21:19:25 [PID ADJ        ] @ Step [5.1082e+00]
