Group    |        Kp |        Ki |        Kd |       Mean |        Std |        MAE |  Mean_l100 |   MAE_l100 |   MSE_l100 |     P% |     I% |     D% |  Dom
------------------------------------------------------------------------------------------------------------------------------------------------------------
G1       |  3.00e-01 |  2.00e-03 |  5.00e-02 |   3.86e-02 |   1.93e-01 |   5.74e-02 |  -4.50e-03 |   1.28e-02 |   2.46e-04 |   62.8 |   16.8 |   20.3 |    P
G2       |  3.00e-01 |  5.00e-04 |  5.00e-02 |   3.93e-02 |   1.87e-01 |   5.55e-02 |  -2.53e-03 |   1.41e-02 |   3.20e-04 |   71.2 |    6.3 |   22.5 |    P
G3       |  3.00e-01 |  1.50e-03 |  5.00e-02 |   3.61e-02 |   1.86e-01 |   5.40e-02 |  -4.67e-03 |   1.39e-02 |   3.05e-04 |   64.0 |   14.1 |   21.9 |    P
G4       |  3.50e-01 |  2.00e-03 |  5.00e-02 |   3.41e-02 |   1.80e-01 |   5.11e-02 |  -4.90e-03 |   1.38e-02 |   3.16e-04 |   65.5 |   15.2 |   19.3 |    P
G5       |  3.50e-01 |  5.00e-04 |  5.00e-02 |   3.78e-02 |   1.82e-01 |   5.17e-02 |  -1.67e-03 |   1.26e-02 |   2.56e-04 |   71.4 |    5.3 |   23.4 |    P
G6       |  3.50e-01 |  1.50e-03 |  5.00e-02 |   3.43e-02 |   1.75e-01 |   5.03e-02 |  -3.53e-03 |   1.25e-02 |   2.68e-04 |   67.0 |   12.6 |   20.4 |    P
G7       |  4.00e-01 |  2.00e-03 |  5.00e-02 |   3.37e-02 |   1.76e-01 |   5.06e-02 |  -4.05e-03 |   1.45e-02 |   3.49e-04 |   68.1 |   12.5 |   19.4 |    P
G8       |  4.00e-01 |  5.00e-04 |  5.00e-02 |   3.64e-02 |   1.78e-01 |   4.99e-02 |  -8.20e-04 |   1.41e-02 |   3.09e-04 |   73.4 |    4.4 |   22.1 |    P
G9       |  4.00e-01 |  1.50e-03 |  5.00e-02 |   3.39e-02 |   1.74e-01 |   5.03e-02 |  -3.26e-03 |   1.22e-02 |   2.32e-04 |   68.6 |    9.9 |   21.5 |    P
G10      |  4.50e-01 |  2.00e-03 |  5.00e-02 |   3.29e-02 |   1.71e-01 |   4.84e-02 |  -1.94e-03 |   1.29e-02 |   2.39e-04 |   68.8 |   10.6 |   20.5 |    P
