[LOG] SCAN_PART Channel               : R
[LOG] SCAN_PART_1 (Forward 15 points) : k1 = 2.911e-05,	b1 = 5.846e-04
[LOG] SCAN_PART_2 (Backward 15 points): k2 = 2.903e-05,	b2 = 5.853e-04
[LOG] SCAN_TOTAL  (Symmetric)         : k_total = 2.907e-05,	b_total = 5.850e-04
[LOG] HYSTERESIS_AVG: Mean Delta_Cap  (dy) = 7.319e-07
[LOG] HYSTERESIS_AVG: Mean Delta_Step (dx) = 0.0252 steps
Cap(theor-act): [  5.868e-04 -   5.860e-04 =   7.576e-07] | Step Loss (=Cap/k_fit): [  0.026] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0117 +  0.0000 +  0.0052 =    +0.0170] @ 2026-02-16 18:51:43.541442 @ Step [1.6965e-02/6.2500e-02]
Cap(theor-act): [  5.868e-04 -   5.860e-04 =   7.576e-07] | Step Loss (=Cap/k_fit): [  0.026] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0117 +  0.0001 +  0.0000 =    +0.0118] @ 2026-02-16 18:51:44.272277 @ Step [2.8744e-02/6.2500e-02]
Cap(theor-act): [  5.886e-04 -   5.868e-04 =   1.768e-06] | Step Loss (=Cap/k_fit): [  0.061] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0274 +  0.0001 +  0.0070 =    +0.0344] @ 2026-02-16 18:51:45.029185 @ Step [6.3187e-02/1.2500e-01]
Cap(theor-act): [  5.886e-04 -   5.867e-04 =   1.869e-06] | Step Loss (=Cap/k_fit): [  0.064] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0289 +  0.0002 +  0.0007 =    +0.0298] @ 2026-02-16 18:51:45.744646 @ Step [9.2998e-02/1.2500e-01]
Cap(theor-act): [  5.904e-04 -   5.864e-04 =   3.988e-06] | Step Loss (=Cap/k_fit): [  0.137] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0617 +  0.0003 +  0.0146 =    +0.0766] @ 2026-02-16 18:51:46.520925 @ Step [1.6963e-01/1.8750e-01]
Cap(theor-act): [  5.904e-04 -   5.878e-04 =   2.578e-06] | Step Loss (=Cap/k_fit): [  0.089] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0399 +  0.0004 + -0.0097 =    +0.0306] @ 2026-02-16 18:51:47.232945 @ Step [2.0024e-01/1.8750e-01]
Cap(theor-act): [  5.922e-04 -   5.891e-04 =   3.186e-06] | Step Loss (=Cap/k_fit): [  0.110] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0493 +  0.0005 +  0.0042 =    +0.0540] @ 2026-02-16 18:51:47.941177 @ Step [2.5426e-01/2.5000e-01]
Cap(theor-act): [  5.922e-04 -   5.915e-04 =   7.703e-07] | Step Loss (=Cap/k_fit): [  0.026] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0119 +  0.0005 + -0.0166 =    -0.0042] @ 2026-02-16 18:51:48.646861 @ Step [2.5010e-01/2.5000e-01]
Cap(theor-act): [  5.941e-04 -   5.912e-04 =   2.888e-06] | Step Loss (=Cap/k_fit): [  0.099] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0447 +  0.0006 +  0.0146 =    +0.0599] @ 2026-02-16 18:51:49.374571 @ Step [3.1002e-01/3.1250e-01]
Cap(theor-act): [  5.941e-04 -   5.937e-04 =   3.711e-07] | Step Loss (=Cap/k_fit): [  0.013] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0057 +  0.0007 + -0.0173 =    -0.0109] @ 2026-02-16 18:51:50.073314 @ Step [2.9910e-01/3.1250e-01]
Cap(theor-act): [  5.959e-04 -   5.935e-04 =   2.389e-06] | Step Loss (=Cap/k_fit): [  0.082] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0370 +  0.0007 +  0.0139 =    +0.0516] @ 2026-02-16 18:51:50.828835 @ Step [3.5070e-01/3.7500e-01]
