"20MHZ, 700mVpp, 100mVdc, time_const 30ms, sen 3mV rms, VDD 3.0, 2/16/2026"
[LOG] SCAN_PART Channel               : R
[LOG] SCAN_PART_1 (Forward 15 points) : k1 = 2.915e-05,	b1 = 5.863e-04
[LOG] SCAN_PART_2 (Backward 15 points): k2 = 2.907e-05,	b2 = 5.868e-04
[LOG] SCAN_TOTAL  (Symmetric)         : k_total = 2.911e-05,	b_total = 5.866e-04
[LOG] HYSTERESIS_AVG: Mean Delta_Cap  (dy) = 5.776e-07
[LOG] HYSTERESIS_AVG: Mean Delta_Step (dx) = 0.0198 steps
Cap(theor-act): [  5.902e-04 -   5.860e-04 =   4.172e-06] | Step Loss (=Cap/k_fit): [  0.143] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:15.864928 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.874e-04 =   2.762e-06] | Step Loss (=Cap/k_fit): [  0.095] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 + -0.0000 =    +0.0000] @ 2026-02-17 13:03:16.532478 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.870e-04 =   3.165e-06] | Step Loss (=Cap/k_fit): [  0.109] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:17.165256 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.874e-04 =   2.762e-06] | Step Loss (=Cap/k_fit): [  0.095] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 + -0.0000 =    +0.0000] @ 2026-02-17 13:03:17.799458 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.870e-04 =   3.165e-06] | Step Loss (=Cap/k_fit): [  0.109] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:18.449883 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.876e-04 =   2.560e-06] | Step Loss (=Cap/k_fit): [  0.088] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 + -0.0000 =    +0.0000] @ 2026-02-17 13:03:19.083247 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.873e-04 =   2.863e-06] | Step Loss (=Cap/k_fit): [  0.098] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:19.729674 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.882e-04 =   1.956e-06] | Step Loss (=Cap/k_fit): [  0.067] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 + -0.0000 =    +0.0000] @ 2026-02-17 13:03:20.385009 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.873e-04 =   2.863e-06] | Step Loss (=Cap/k_fit): [  0.098] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:21.011603 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.876e-04 =   2.560e-06] | Step Loss (=Cap/k_fit): [  0.088] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 + -0.0000 =    +0.0000] @ 2026-02-17 13:03:21.631699 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.877e-04 =   2.460e-06] | Step Loss (=Cap/k_fit): [  0.084] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 + -0.0000 =    +0.0000] @ 2026-02-17 13:03:22.260972 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.876e-04 =   2.560e-06] | Step Loss (=Cap/k_fit): [  0.088] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:22.893406 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.878e-04 =   2.359e-06] | Step Loss (=Cap/k_fit): [  0.081] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 + -0.0000 =    +0.0000] @ 2026-02-17 13:03:23.528122 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.878e-04 =   2.359e-06] | Step Loss (=Cap/k_fit): [  0.081] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:24.169399 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.890e-04 =   1.251e-06] | Step Loss (=Cap/k_fit): [  0.043] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 + -0.0000 =    +0.0000] @ 2026-02-17 13:03:24.808416 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.888e-04 =   1.453e-06] | Step Loss (=Cap/k_fit): [  0.050] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:25.435355 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.890e-04 =   1.251e-06] | Step Loss (=Cap/k_fit): [  0.043] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 + -0.0000 =    +0.0000] @ 2026-02-17 13:03:26.057609 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.888e-04 =   1.453e-06] | Step Loss (=Cap/k_fit): [  0.050] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:26.682590 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.894e-04 =   8.475e-07] | Step Loss (=Cap/k_fit): [  0.029] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 + -0.0000 =    +0.0000] @ 2026-02-17 13:03:27.310784 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.895e-04 =   7.475e-07] | Step Loss (=Cap/k_fit): [  0.026] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 + -0.0000 =    +0.0000] @ 2026-02-17 13:03:27.947097 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.888e-04 =   1.453e-06] | Step Loss (=Cap/k_fit): [  0.050] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:28.589925 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.883e-04 =   1.855e-06] | Step Loss (=Cap/k_fit): [  0.064] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:29.220501 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.883e-04 =   1.855e-06] | Step Loss (=Cap/k_fit): [  0.064] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:29.853847 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.888e-04 =   1.453e-06] | Step Loss (=Cap/k_fit): [  0.050] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 + -0.0000 =    +0.0000] @ 2026-02-17 13:03:30.477699 @ Step [1.2500e-01/1.2500e-01]
Cap(theor-act): [  5.902e-04 -   5.885e-04 =   1.654e-06] | Step Loss (=Cap/k_fit): [  0.057] | Gains(P,I,D): [0.00e+00, 0.00e+00, 0.00e+00] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 2026-02-17 13:03:31.113225 @ Step [1.2500e-01/1.2500e-01]
