Cap(theor-act): [  6.149e-04 -   6.141e-04 =   7.382e-07] | Step Loss (=Cap/k_fit): [  0.025] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0096 + -0.0000 +  0.0062 =    +0.0158] @ 2026-02-18 20:36:54.279787 @ Step [1.0158e+00/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.174e-04 =  -2.485e-06] | Step Loss (=Cap/k_fit): [ -0.085] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0322 + -0.0000 + -0.0220 =    -0.0542] @ 2026-02-18 20:36:54.900657 @ Step [9.6160e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.176e-04 =  -2.686e-06] | Step Loss (=Cap/k_fit): [ -0.092] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0348 + -0.0000 + -0.0014 =    -0.0362] @ 2026-02-18 20:36:55.531289 @ Step [9.2540e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.173e-04 =  -2.384e-06] | Step Loss (=Cap/k_fit): [ -0.081] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0309 + -0.0000 +  0.0021 =    -0.0289] @ 2026-02-18 20:36:56.149684 @ Step [8.9655e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.173e-04 =  -2.384e-06] | Step Loss (=Cap/k_fit): [ -0.081] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0309 + -0.0000 +  0.0000 =    -0.0309] @ 2026-02-18 20:36:56.780430 @ Step [8.6563e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.160e-04 =  -1.176e-06] | Step Loss (=Cap/k_fit): [ -0.040] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0152 + -0.0000 +  0.0082 =    -0.0070] @ 2026-02-18 20:36:57.399078 @ Step [8.5863e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.155e-04 =  -6.718e-07] | Step Loss (=Cap/k_fit): [ -0.023] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0087 + -0.0000 +  0.0034 =    -0.0053] @ 2026-02-18 20:36:58.025940 @ Step [8.5336e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.158e-04 =  -9.748e-07] | Step Loss (=Cap/k_fit): [ -0.033] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0126 + -0.0000 + -0.0021 =    -0.0147] @ 2026-02-18 20:36:58.645435 @ Step [8.3865e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.153e-04 =  -4.708e-07] | Step Loss (=Cap/k_fit): [ -0.016] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0061 + -0.0000 +  0.0034 =    -0.0027] @ 2026-02-18 20:36:59.268255 @ Step [8.3598e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.160e-04 =  -1.176e-06] | Step Loss (=Cap/k_fit): [ -0.040] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0152 + -0.0000 + -0.0048 =    -0.0201] @ 2026-02-18 20:36:59.903481 @ Step [8.1592e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.147e-04 =   1.332e-07] | Step Loss (=Cap/k_fit): [  0.005] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0017 + -0.0000 +  0.0089 =    +0.0107] @ 2026-02-18 20:37:00.536179 @ Step [8.2658e-01/1.0000e+00]
