[LOG] SCAN_PART Channel               : R
[LOG] SCAN_PART_1 (Forward 15 points) : k1 = 8.191e-06,	b1 = 1.697e-04
[LOG] SCAN_PART_2 (Backward 15 points): k2 = 8.212e-06,	b2 = 1.698e-04
[LOG] SCAN_TOTAL  (Symmetric)         : k_total = 8.201e-06,	b_total = 1.698e-04
[LOG] HYSTERESIS_AVG: Mean Delta_Cap  (dy) = 1.766e-07
[LOG] HYSTERESIS_AVG: Mean Delta_Step (dx) = 0.0215 steps
Cap(theor-act): [  1.698e-04 -   1.616e-04 =   8.146e-06] | Step Loss (=Cap/k_fit): [  0.993] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 15:02:30 [FORCE STEP     ] @ Step [5.0000e+00]
Cap(theor-act): [  1.698e-04 -   1.613e-04 =   8.418e-06] | Step Loss (=Cap/k_fit): [  1.026] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 15:02:31 [PID PAUSED     ] @ Step [5.0000e+00]
Cap(theor-act): [  1.698e-04 -   1.616e-04 =   8.166e-06] | Step Loss (=Cap/k_fit): [  0.996] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 15:02:32 [PID PAUSED     ] @ Step [5.0000e+00]
Cap(theor-act): [  1.698e-04 -   1.614e-04 =   8.348e-06] | Step Loss (=Cap/k_fit): [  1.018] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 15:02:33 [PID PAUSED     ] @ Step [5.0000e+00]
Cap(theor-act): [  1.698e-04 -   1.614e-04 =   8.307e-06] | Step Loss (=Cap/k_fit): [  1.013] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 15:02:34 [PID PAUSED     ] @ Step [5.0000e+00]
Cap(theor-act): [  1.698e-04 -   1.615e-04 =   8.217e-06] | Step Loss (=Cap/k_fit): [  1.002] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 15:02:36 [PID PAUSED     ] @ Step [5.0000e+00]
Cap(theor-act): [  1.698e-04 -   1.614e-04 =   8.348e-06] | Step Loss (=Cap/k_fit): [  1.018] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 15:02:37 [PID PAUSED     ] @ Step [5.0000e+00]
Cap(theor-act): [  1.698e-04 -   1.614e-04 =   8.398e-06] | Step Loss (=Cap/k_fit): [  1.024] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 15:02:38 [PID PAUSED     ] @ Step [5.0000e+00]
Cap(theor-act): [  1.698e-04 -   1.615e-04 =   8.227e-06] | Step Loss (=Cap/k_fit): [  1.003] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 15:02:39 [PID PAUSED     ] @ Step [5.0000e+00]
Cap(theor-act): [  1.698e-04 -   1.615e-04 =   8.207e-06] | Step Loss (=Cap/k_fit): [  1.001] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 15:02:40 [PID PAUSED     ] @ Step [5.0000e+00]
Cap(theor-act): [  1.698e-04 -   1.616e-04 =   8.197e-06] | Step Loss (=Cap/k_fit): [  1.000] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0000 +  0.0000 +  0.0000 =    +0.0000] @ 15:02:41 [PID PAUSED     ] @ Step [5.0000e+00]
Cap(theor-act): [  1.698e-04 -   1.617e-04 =   8.086e-06] | Step Loss (=Cap/k_fit): [  0.986] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.1972 +  0.0020 +  0.0049 =    +0.2041] @ 15:02:42 [PID ADJ        ] @ Step [5.2041e+00]
Cap(theor-act): [  1.698e-04 -   1.626e-04 =   7.190e-06] | Step Loss (=Cap/k_fit): [  0.877] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.1753 +  0.0037 + -0.0005 =    +0.1785] @ 15:02:44 [PID ADJ        ] @ Step [5.3826e+00]
Cap(theor-act): [  1.698e-04 -   1.645e-04 =   5.236e-06] | Step Loss (=Cap/k_fit): [  0.638] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.1277 +  0.0050 + -0.0012 =    +0.1315] @ 15:02:45 [PID ADJ        ] @ Step [5.5141e+00]
Cap(theor-act): [  1.698e-04 -   1.650e-04 =   4.732e-06] | Step Loss (=Cap/k_fit): [  0.577] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.1154 +  0.0062 + -0.0003 =    +0.1213] @ 15:02:46 [PID ADJ        ] @ Step [5.6354e+00]
Cap(theor-act): [  1.698e-04 -   1.661e-04 =   3.665e-06] | Step Loss (=Cap/k_fit): [  0.447] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0894 +  0.0071 + -0.0007 =    +0.0958] @ 15:02:47 [PID ADJ        ] @ Step [5.7312e+00]
Cap(theor-act): [  1.698e-04 -   1.677e-04 =   2.074e-06] | Step Loss (=Cap/k_fit): [  0.253] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0506 +  0.0076 + -0.0010 =    +0.0572] @ 15:02:48 [PID ADJ        ] @ Step [5.7883e+00]
Cap(theor-act): [  1.698e-04 -   1.688e-04 =   9.763e-07] | Step Loss (=Cap/k_fit): [  0.119] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0238 +  0.0078 + -0.0007 =    +0.0309] @ 15:02:49 [PID ADJ        ] @ Step [5.8193e+00]
Cap(theor-act): [  1.698e-04 -   1.689e-04 =   8.053e-07] | Step Loss (=Cap/k_fit): [  0.098] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0196 +  0.0080 + -0.0001 =    +0.0275] @ 15:02:50 [PID ADJ        ] @ Step [5.8468e+00]
Cap(theor-act): [  1.698e-04 -   1.692e-04 =   5.133e-07] | Step Loss (=Cap/k_fit): [  0.063] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0125 +  0.0081 + -0.0002 =    +0.0205] @ 15:02:52 [PID ADJ        ] @ Step [5.8673e+00]
Cap(theor-act): [  1.698e-04 -   1.692e-04 =   5.333e-07] | Step Loss (=Cap/k_fit): [  0.065] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0130 +  0.0082 +  0.0000 =    +0.0213] @ 15:02:53 [PID ADJ        ] @ Step [5.8885e+00]
